image_width,image_height,tile_width,tile_height,image_date,imagery_type,projection_type,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg,panoId,zoomLevels,lat,lng,original_lat,original_lng,elevation_wgs84_m,description,streetRange,region,country,elevation_egm96_m,links_cnt,link_forward_yawDeg,link_f_panoId,link_f_road_argb,link_f_description,link_backward_yawDeg,link_b_panoId,link_b_road_argb,link_b_description,link_others
13312,6656,512,512,2014-8,1,spherical,5.23420524597168,90.48649597167969,1.345668077468872,znuYMYuRAnWodO_nKEcpAw,,33.9908825311524,-81.00626099786534,,,,101 S Woodrow St,,Columbia; South Carolina,US,89.71270751953125,4,4.480648994445801,iwIR7ReTsovIl2NEO1n1jA,,Woodrow St,279.83447265625,oUNvMa7PVtjhDnx-1NnsTQ,,Heyward St,89.1512451171875|_dSD7M9ggy25Y8ocd3bOVw||Heyward St|184.6192474365234|bD0H1wJkNsf920LkpU9bXA||S Woodrow St
16384,8192,512,512,2022-2,1,spherical,183.5409698486328,88.68717956542969,0.5084905624389648,bD0H1wJkNsf920LkpU9bXA,,33.99081470797398,-81.00631140436437,,,,101 S Woodrow St,,Columbia; South Carolina,US,89.00374603271484,2,184.599853515625,p4RFDXvkNmC42i42QrU10Q,,S Woodrow St,4.619254589080811,znuYMYuRAnWodO_nKEcpAw,,S Woodrow St
16384,8192,512,512,2022-2,1,spherical,183.2300720214844,89.07646942138672,0.397373378276825,p4RFDXvkNmC42i42QrU10Q,,33.99072225877176,-81.00631814770628,,,,100 S Woodrow St,,Columbia; South Carolina,US,88.85005950927734,2,184.6671600341797,HLEanEQavzLGOgt1CAy8tA,,S Woodrow St,4.599846839904785,bD0H1wJkNsf920LkpU9bXA,,S Woodrow St
16384,8192,512,512,2021-12,1,spherical,184.5931854248047,89.51876831054688,1.281742215156555,HLEanEQavzLGOgt1CAy8tA,,33.990650218339,-81.00632716692519,,,,100 S Woodrow St,,Columbia; South Carolina,US,88.78125762939453,2,184.6388702392578,ye0Bj3kdK30YplYkpneKdQ,,S Woodrow St,4.667163372039795,p4RFDXvkNmC42i42QrU10Q,,S Woodrow St
16384,8192,512,512,2022-2,1,spherical,183.4869384765625,88.76634979248047,0.7035312652587891,ye0Bj3kdK30YplYkpneKdQ,,33.99063135235212,-81.00632522821466,,,,100 S Woodrow St,,Columbia; South Carolina,US,88.75653839111328,2,184.5919647216797,o3bXwz6__nb8XqfLceHOxA,,S Woodrow St,4.63886833190918,HLEanEQavzLGOgt1CAy8tA,,S Woodrow St
16384,8192,512,512,2022-2,1,spherical,183.6714019775391,89.01139068603516,0.560616672039032,o3bXwz6__nb8XqfLceHOxA,,33.99053988018604,-81.00633264588943,,,,100 S Woodrow St,,Columbia; South Carolina,US,88.63682556152344,2,184.6388702392578,9uzvJYjfhOL1PVl_1DcnTw,,S Woodrow St,4.591967105865479,ye0Bj3kdK30YplYkpneKdQ,,S Woodrow St
16384,8192,512,512,2022-2,1,spherical,51.89171600341797,89.61692810058594,1.880050659179688,_dSD7M9ggy25Y8ocd3bOVw,,33.99084888466184,-81.00621623889022,,,,2700 Heyward St,,Columbia; South Carolina,US,88.90975189208984,2,94.36642456054688,1qTopLEo4k5euVrLowCI_w,,Heyward St,269.1512451171875,znuYMYuRAnWodO_nKEcpAw,,S Woodrow St
16384,8192,512,512,2022-2,1,spherical,90.2288589477539,88.60185241699219,2.08366870880127,1qTopLEo4k5euVrLowCI_w,,33.99086372649392,-81.00610699653924,,,,2700 Heyward St,,Columbia; South Carolina,US,88.77083587646484,2,94.3367919921875,XShHFvEc3Mi2fhPmjY7OGw,,Heyward St,274.3664245605469,_dSD7M9ggy25Y8ocd3bOVw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,90.96747589111328,88.49046325683594,0.9312620162963867,XShHFvEc3Mi2fhPmjY7OGw,,33.99086202736026,-81.00598612172469,,,,2701 Heyward St,,Columbia; South Carolina,US,88.50994110107422,2,94.38910675048828,piIyY_Bgq2dmllHQlN7FRw,,Heyward St,274.3367919921875,1qTopLEo4k5euVrLowCI_w,,Heyward St
16384,8192,512,512,2022-2,1,spherical,91.73087310791016,88.12513732910156,0.1135652586817741,piIyY_Bgq2dmllHQlN7FRw,,33.99085874469939,-81.00586895558409,,,,2701 Heyward St,,Columbia; South Carolina,US,88.21570587158203,2,94.36042785644531,jU2oGQbTTo4Jop2ISGlF9Q,,Heyward St,274.3890991210938,XShHFvEc3Mi2fhPmjY7OGw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,92.96061706542969,87.760498046875,359.7362060546875,jU2oGQbTTo4Jop2ISGlF9Q,,33.99085527745493,-81.00575617247293,,,,2701 Heyward St,,Columbia; South Carolina,US,87.89836120605469,2,94.37487030029297,7scskWkS3f0TlHblKMsN9w,,Heyward St,274.3604125976562,piIyY_Bgq2dmllHQlN7FRw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.02490997314453,87.64717102050781,359.8843078613281,7scskWkS3f0TlHblKMsN9w,,33.99084876593365,-81.00564558080535,,,,2714 Heyward St,,Columbia; South Carolina,US,87.5588150024414,2,94.36540985107422,sJm_PTo5sdMLccs2XsFOJQ,,Heyward St,274.3748779296875,jU2oGQbTTo4Jop2ISGlF9Q,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.5309829711914,87.44007110595703,359.6905517578125,sJm_PTo5sdMLccs2XsFOJQ,,33.99084148116425,-81.00553709629793,,,,2714 Heyward St,,Columbia; South Carolina,US,87.18231964111328,2,94.34952545166016,HWNdVqAf90a1evopt2Oaow,,Heyward St,274.3654174804688,7scskWkS3f0TlHblKMsN9w,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.81648254394531,87.5792236328125,359.7816467285156,HWNdVqAf90a1evopt2Oaow,,33.9908329373578,-81.00542869593411,,,,2716 Heyward St,,Columbia; South Carolina,US,86.83301544189453,2,94.40461730957031,VQyJI_QhA31YcKqD8uMLTw,,Heyward St,274.3495178222656,sJm_PTo5sdMLccs2XsFOJQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.61062622070312,87.65165710449219,0.2070737779140472,VQyJI_QhA31YcKqD8uMLTw,,33.99082421069891,-81.0053224027423,,,,2718 Heyward St,,Columbia; South Carolina,US,86.51724243164062,2,94.34912872314453,1stgjxbYI9gxL3PJ7DbSBw,,Heyward St,274.4046325683594,HWNdVqAf90a1evopt2Oaow,,Heyward St
16384,8192,512,512,2022-2,1,spherical,97.359619140625,87.58270263671875,0.6641716361045837,1stgjxbYI9gxL3PJ7DbSBw,,33.99081315331543,-81.00521653087205,,,,2718 Heyward St,,Columbia; South Carolina,US,86.2155990600586,2,94.34295654296875,AdJs0TBvP6SC603OOmn4XQ,,Heyward St,274.34912109375,VQyJI_QhA31YcKqD8uMLTw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,97.67767333984375,87.91756439208984,0.6004317402839661,AdJs0TBvP6SC603OOmn4XQ,,33.99080082059436,-81.00511167037651,,,,2717 Heyward St,,Columbia; South Carolina,US,85.91046905517578,2,94.39747619628906,5kTjuAGYp5jNzaOpt54sWQ,,Heyward St,274.3429565429688,1stgjxbYI9gxL3PJ7DbSBw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,96.41649627685547,88.05867767333984,1.903461337089539,5kTjuAGYp5jNzaOpt54sWQ,,33.9907890843448,-81.00500689403482,,,,2724 Heyward St,,Columbia; South Carolina,US,85.67462158203125,2,94.34078216552734,15oCd-mPagUVtzLLr7urPg,,Heyward St,274.3974914550781,AdJs0TBvP6SC603OOmn4XQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.09471893310547,88.34529113769531,1.911146640777588,15oCd-mPagUVtzLLr7urPg,,33.99077987822244,-81.00490211755404,,,,2730 Heyward St,,Columbia; South Carolina,US,85.46007537841797,2,94.39494323730469,kg5Va-TcYa2Ud43zQRGhxg,,Heyward St,274.3407897949219,5kTjuAGYp5jNzaOpt54sWQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.6993179321289,88.45743560791016,1.713865399360657,kg5Va-TcYa2Ud43zQRGhxg,,33.990772774337,-81.00479725664079,,,,2719 Heyward St,,Columbia; South Carolina,US,85.29838562011719,2,94.34712982177734,2eW9USFyCV5KRNuQeeVuvg,,Heyward St,274.3949584960938,15oCd-mPagUVtzLLr7urPg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,92.35017395019531,88.62527465820312,1.535264134407043,2eW9USFyCV5KRNuQeeVuvg,,33.9907662009874,-81.00464215664228,,,,2732 Heyward St,,Columbia; South Carolina,US,85.06014251708984,2,94.37306213378906,Q1nm7SSKRmPKA1mtQBeEOQ,,Heyward St,274.3471374511719,kg5Va-TcYa2Ud43zQRGhxg,,Heyward St
